Review,Rating,sentiment,label
Cheap and mostly cheerful. 07/27/2017,3.0,Neutre,1
"Cheap food, but average quality 05/13/2016",2.0,Négatif,0
High end restaurant with a local touch 05/11/2017,4.0,Positif,2
Business dinner at Famu /Scandic 10/25/2017,3.0,Neutre,1
Worst service 10/15/2017,3.0,Neutre,1
For fast food lovers 05/07/2014,3.0,Neutre,1
Sheesha trip 05/05/2017,2.0,Négatif,0
Late night snacking 04/28/2017,3.0,Neutre,1
It's alright..... but 08/21/2016,3.0,Neutre,1
Bad quality of food 10/26/2015,2.0,Négatif,0
The beer that went wrong 02/28/2017,4.0,Positif,2
Good but expensive coffee 01/28/2017,3.0,Neutre,1
Good Thai 10/02/2013,3.0,Neutre,1
A gem in Montmartre 08/06/2014,3.0,Neutre,1
Business no longer there 10/02/2017,3.0,Neutre,1
"Quiet, slow and not too cheap 07/29/2016",2.0,Négatif,0
A Fantastic Place For Our New Years Day An... 01/04/2018,4.5,Positif,2
AVOID THIS BRANCH - an entire box of BBQ c... 03/07/2017,1.5,Négatif,0
Seen it done it. 09/21/2012,3.0,Neutre,1
Pizza shop 02/28/2017,3.5,Positif,2
"Good food, lovely surroundings 07/22/2017",4.0,Positif,2
A great menu of the day in a friendly atmo... 08/28/2016,3.0,Neutre,1
"Piano piano, indeed..... 09/26/2017",3.0,Neutre,1
Truly awful 02/13/2017,2.0,Négatif,0
crap slow service - must mention deal when... 03/27/2012,2.0,Négatif,0
They can't even grill a Ribeye! 10/10/2017,3.0,Neutre,1
Worst 10/03/2015,1.0,Négatif,0
"change of management, much for the worse 12/07/2013",3.0,Neutre,1
Traditional food 12/31/2015,3.0,Neutre,1
Bustling bar. 11/29/2013,3.0,Neutre,1
nice but could do more veggie and vegan op... 11/08/2016,3.0,Neutre,1
Coffee break with my grand daughter. 05/07/2017,4.0,Positif,2
Miserable service and sub standard food 11/08/2017,2.0,Négatif,0
Classic Pizza 08/30/2010,3.5,Positif,2
Trendy but very loud! 09/29/2016,4.0,Positif,2
2 Hour Wait for Food 03/08/2017,3.0,Neutre,1
Non experienced Manager 08/09/2017,2.0,Négatif,0
japanese food in chinese style. 05/19/2014,3.5,Positif,2
It's a normal kebab place 06/26/2016,1.0,Négatif,0
Terrible restaurants 06/15/2013,2.0,Négatif,0
Nicely partly deconstructed interior with... 05/28/2017,3.5,Positif,2
If you are hungry and need food - but bett... 09/12/2017,3.0,Neutre,1
Pizza for dinner 12/19/2017,3.0,Neutre,1
Awesome Signature Cocktails!!!! 06/15/2017,3.0,Neutre,1
Total rip of 10/15/2015,3.0,Neutre,1
"Brilliant, real Japanese food 10/31/2017",4.5,Positif,2
Fastfood - good ingredients but the most a... 03/01/2016,2.0,Négatif,0
"Quaint, friendly restaurant 09/18/2017",4.0,Positif,2
Has potential but needs work. 10/14/2017,3.0,Neutre,1
Stay away from this neibourhood 09/04/2012,1.0,Négatif,0
"Don't waste your time, and money 01/02/2018",2.0,Négatif,0
"Rip off, don’t bother 02/04/2018",1.5,Négatif,0
Best lunch for ages 05/21/2008,5.0,Positif,2
drink only 12/10/2016,3.0,Neutre,1
Catastrophic service 06/07/2014,1.0,Négatif,0
"Good location, avarage food/service 10/10/2015",2.5,Positif,2
"Very poor service. Food ok, but they tri... 08/16/2017",2.0,Négatif,0
Nice food for a nice price 08/13/2016,3.5,Positif,2
Very nice as always 12/20/2017,3.0,Neutre,1
"Nice atmosphere, good location to people-w... 02/24/2018",3.0,Neutre,1
Great all you can eat mussels offer 02/19/2017,3.0,Neutre,1
That's why it's been there ages! 09/22/2017,4.5,Positif,2
This food stinks 08/30/2017,1.5,Négatif,0
Just nope 11/23/2015,1.5,Négatif,0
Pizzas are not good in my opinion.. 03/25/2017,4.0,Positif,2
Standards have dropped below par 11/14/2017,3.0,Neutre,1
Poor breakfast 12/29/2017,1.5,Négatif,0
Authentic Italian food and service in leaf... 09/13/2017,4.0,Positif,2
Passable but nothing to rave about 08/11/2017,2.0,Négatif,0
Welcome to 1990s 10/17/2015,3.0,Neutre,1
Wonderful Turkish food! 11/11/2017,4.0,Positif,2
take away desperation 02/27/2016,2.0,Négatif,0
Below average food 02/18/2013,3.0,Neutre,1
OK food but disappointing service 01/05/2017,3.0,Neutre,1
Nice location for dinner 04/17/2017,3.0,Neutre,1
A Chinese greasy spoon in an area that has... 10/11/2017,2.0,Négatif,0
great happy hour with friends 10/21/2017,3.0,Neutre,1
Terrible behavior by staff 02/23/2016,2.0,Négatif,0
WORST CUSTOMER SERVICE EVER 12/04/2017,1.5,Négatif,0
Panshi 06/03/2017,3.0,Neutre,1
€5 cocktails and a cosy place to sit outsi... 07/21/2017,2.0,Négatif,0
Good Pizza & Paulaner 01/08/2018,4.0,Positif,2
Average fish and chips place 03/02/2015,2.0,Négatif,0
"Leidseplein with good food and roomy, mode... 10/21/2017",3.5,Positif,2
Best aperetivo's! 05/13/2014,3.0,Neutre,1
Best bobun in the city 01/07/2017,3.0,Neutre,1
Do yourself a favour and walk past this pl... 12/16/2009,1.0,Négatif,0
A mean baker but kind staff 10/19/2017,4.0,Positif,2
DO NOT GO HERE 01/07/2018,2.0,Négatif,0
"Disappointing, over priced 11/20/2012",2.0,Négatif,0
Throw up 05/17/2015,1.5,Négatif,0
Time to move on... 08/21/2017,2.0,Négatif,0
Best meal in portugal. 01/13/2018,4.5,Positif,2
Tasty and genuine tacos 07/30/2016,3.5,Positif,2
"Boooring, dry 08/01/2014",2.0,Négatif,0
Worse Indian take away I've ever had in my... 03/20/2016,1.0,Négatif,0
Dirty restaurant 12/19/2017,2.0,Négatif,0
We were happy 02/22/2014,2.0,Négatif,0
Home-made food at its best 09/16/2017,5.0,Positif,2
Go away... 03/01/2014,1.0,Négatif,0
trapped 10/20/2017,1.5,Négatif,0
Nice garden and large internal room 07/12/2017,3.5,Positif,2
Worse ceasar salad ever (at 60 euro) 11/19/2017,1.5,Négatif,0
"Good ice cream, the worst topping ever 12/19/2016",2.0,Négatif,0
If you're reading this DON'T GO!!!!! 09/24/2017,1.5,Négatif,0
Sucks big time 03/28/2016,2.0,Négatif,0
Moijto madness! 06/25/2017,3.0,Neutre,1
Always convenient 10/17/2017,2.0,Négatif,0
Terrible unfriendly service worst McDs eve... 09/26/2017,3.0,Neutre,1
A Tasty Little Find 01/28/2017,4.0,Positif,2
Oh yes 01/24/2017,3.0,Neutre,1
Help! 09/08/2017,3.5,Positif,2
Poor Value for Money 08/28/2017,2.0,Négatif,0
Never come again. Worst Experience. This... 09/25/2017,2.0,Négatif,0
bad option 04/24/2017,2.0,Négatif,0
Amazing gluten free dessert 10/21/2017,4.0,Positif,2
The most tragic experience ever 10/07/2017,2.0,Négatif,0
Worst ever 12/04/2017,1.5,Négatif,0
I hate this place 11/16/2017,1.5,Négatif,0
Horrible little place 05/09/2017,2.0,Négatif,0
"All you can eat. Super, very good food and... 03/03/2016",4.5,Positif,2
Low quality fast-food 06/28/2017,1.0,Négatif,0
Really nice place with a great view 08/08/2017,3.0,Neutre,1
"Food average, illegal conduct 10/26/2017",2.0,Négatif,0
Good for a drink 01/15/2018,3.0,Neutre,1
they're all around Paris 04/09/2014,2.0,Négatif,0
"Local Italian with thin nice pizzas and ""o... 06/11/2015",3.5,Positif,2
Good order wrong 12/24/2017,2.0,Négatif,0
A lovely surprise for tea lovers 05/08/2016,5.0,Positif,2
"Food was amazing, shame about the service... 06/21/2016",3.5,Positif,2
Food is OK but resaurant is difficult to f... 09/18/2017,2.0,Négatif,0
One of my best dinners of the year 12/26/2017,4.5,Positif,2
"Parisare frozen in middle,not working cue. 07/04/2014",1.0,Négatif,0
If you like tripe-try this restaurant 11/05/2015,2.0,Négatif,0
Excellent Spanish food 06/30/2017,3.5,Positif,2
Sushi for a Great Value 09/26/2014,3.0,Neutre,1
"bun fell apart, closed early today 11pm 10/03/2017",1.5,Négatif,0
Language - Exoensive 10/07/2017,1.0,Négatif,0
"Awful food, most likely microwaived 01/01/2018",3.0,Neutre,1
"Amazing food, great service and very creat... 08/01/2017",4.5,Positif,2
"Friendly, reasonable and fantastic food 12/13/2017",4.5,Positif,2
Slow service but tasty food. 09/18/2016,2.0,Négatif,0
"Slow service, good place for killing time 12/07/2017",2.0,Négatif,0
Good pizza night 05/08/2015,3.0,Neutre,1
A quirky and fun place for a drink 01/07/2018,3.0,Neutre,1
Ups and Downs of Easy Burger 06/05/2015,3.0,Neutre,1
Just not good enough for the price 09/17/2017,1.5,Négatif,0
Erm....itll do 10/02/2017,3.0,Neutre,1
Unfriendly 10/20/2014,3.0,Neutre,1
Amazing vegan options but price is pretty... 03/20/2017,4.0,Positif,2
Its my party and I cry if I want to 01/06/2016,1.0,Négatif,0
Totally unauthentic phố bộ 09/14/2016,1.0,Négatif,0
Always a great spot 08/17/2017,4.0,Positif,2
"Food is ok, but a great outdoor space 01/07/2016",3.0,Neutre,1
Nice meals/drinks and friendly service 07/25/2017,3.5,Positif,2
A Really Good Lunch 09/28/2017,3.0,Neutre,1
THE CAMERA CAN LIE 06/24/2014,2.0,Négatif,0
Small but fine 06/27/2017,4.0,Positif,2
Its a English pub in Madrid 06/26/2014,3.0,Neutre,1
Lunch hour Horror 11/03/2017,1.5,Négatif,0
Lunch with my wife 11/09/2017,3.0,Neutre,1
"Food was good, service awful 10/15/2017",3.5,Positif,2
A pity not being better managed 01/30/2016,3.0,Neutre,1
well known place in vienna 09/09/2017,3.0,Neutre,1
Our Waiter should try and Smile 12/03/2017,3.0,Neutre,1
Experiance Greece in Berlin 04/18/2017,4.0,Positif,2
Hit or miss.....but service is five stars 11/19/2017,4.0,Positif,2
La Boheme du Tertre 12/31/2017,3.0,Neutre,1
Security 11/15/2017,3.0,Neutre,1
A quick lunch 11/12/2017,3.0,Neutre,1
Rose and Crown 05/27/2017,3.0,Neutre,1
"Not worth wasting time on this one, very p... 03/19/2016",1.0,Négatif,0
Great Find in Berlin Ost 10/10/2017,4.5,Positif,2
Excellent choice for vegans and vegetarian... 12/28/2017,4.5,Positif,2
Worst hot dogs abd eating experience ever... 06/06/2017,1.5,Négatif,0
Genrally as good as a McDonald's could be 08/12/2016,3.0,Neutre,1
A good surprise 08/05/2016,4.0,Positif,2
Hole in the wall that hit the spot 03/08/2017,2.0,Négatif,0
Very good paella 05/28/2017,2.0,Négatif,0
"Scammers!!!! Stay away"" 09/22/2017",1.5,Négatif,0
diner at the Freischwimmer; followed by sk... 01/15/2011,4.0,Positif,2
Great place for a healthy and tasty meal 08/20/2017,5.0,Positif,2
First döner in Berlin this visit 08/12/2017,3.0,Neutre,1
"great products, not so the service 11/24/2016",3.0,Neutre,1
Stay away from this place 07/05/2010,1.5,Négatif,0
Terrible all round 09/08/2016,1.0,Négatif,0
"Friendly staff, but terrible pizza 11/21/2015",1.0,Négatif,0
"Savoury ""original Italian style"" pasta to... 11/19/2015",4.5,Positif,2
Extremely rude people 09/17/2017,3.0,Neutre,1
Standard McD's 07/16/2016,3.0,Neutre,1
Nice Quite Place for a Nice Quite Evening 09/18/2017,3.0,Neutre,1
relaxing atmosphere for... 03/12/2008,3.0,Neutre,1
"Late lunch, cheeky beer 06/27/2017",2.0,Négatif,0
"Family friendly. Perfect for breakfast, br... 10/09/2016",3.0,Neutre,1
"Fabulous place, shocking service on bookin... 01/24/2017",3.0,Neutre,1
Needs a bit of work 01/26/2015,3.0,Neutre,1
"Just like their name says, it's a craft be... 10/09/2017",4.5,Positif,2
My second Livingroom 01/25/2017,4.0,Positif,2
Very good Kosher restaurant in a simple se... 09/27/2017,3.0,Neutre,1
"Really, really poor 09/25/2013",1.0,Négatif,0
Wouldn't let 2 males have a drink 08/23/2017,1.5,Négatif,0
Polish charm 12/20/2017,4.0,Positif,2
Barely OK 04/25/2017,2.0,Négatif,0
"Bad wine, bad service 11/29/2016",3.0,Neutre,1
Wonderful Meat Restaurant 10/19/2016,3.5,Positif,2
Totally chilled out! 12/24/2016,4.5,Positif,2
Nice enough for price 08/09/2017,3.0,Neutre,1
Close to Perfect 02/09/2017,3.0,Neutre,1
"Average food, cacophonic place 04/16/2015",3.0,Neutre,1
Nice Indian food !! 09/05/2017,3.0,Neutre,1
Just what a London pub should be 08/25/2017,3.0,Neutre,1
Free Flowing Prosecco and A Great Vibe! 11/27/2017,4.0,Positif,2
A great find in the 2eme.Thank you Firsty... 03/20/2017,4.0,Positif,2
Racist Club 11/25/2016,2.0,Négatif,0
It looks better than it is 01/07/2015,3.0,Neutre,1
Cheap and yugh!!!!!! 07/21/2015,1.5,Négatif,0
Great little spot- good food 12/30/2017,3.0,Neutre,1
Service is letting down the food 02/26/2017,3.5,Positif,2
Fresh Fish and great view! 07/28/2014,3.0,Neutre,1
Foreigner 03/11/2016,4.0,Positif,2
Good for work day lunch 10/05/2016,3.0,Neutre,1
Abysmal Stock Control 11/14/2014,2.0,Négatif,0
Half a dot should be added 10/08/2016,3.0,Neutre,1
Worst experience of a Persian resturant ev... 08/06/2015,1.0,Négatif,0
Rude Staff who do not accept being told wh... 12/22/2016,2.0,Négatif,0
Terrible service and dry chicken 10/06/2016,3.0,Neutre,1
When did the Roman civilization perished? 09/20/2016,1.5,Négatif,0
Nice place to have a cocktail on the beach 10/27/2013,2.0,Négatif,0
Complete package 07/04/2017,4.5,Positif,2
Great value for money for fresh food with... 09/30/2014,3.0,Neutre,1
Dead Bug on my pizza 09/28/2016,2.0,Négatif,0
A very helpful and good Sri Lankan attenda... 08/13/2016,2.0,Négatif,0
Horrid! 01/11/2018,2.0,Négatif,0
Tasty burgers and very accomadating 09/09/2017,3.5,Positif,2
is not a good restaurant 11/13/2013,2.0,Négatif,0
"Enjoyed the ""Shao La"" 08/12/2015",3.0,Neutre,1
Calcots - an experience 03/09/2016,3.0,Neutre,1
"Nice spot, lovely views! 01/19/2017",3.0,Neutre,1
Multiple options 07/06/2017,4.0,Positif,2
Nice take away Chinese food. 05/07/2017,2.0,Négatif,0
Grab a bite or a drink during lunch break 04/12/2016,3.5,Positif,2
"Friendly staff, not great food 10/05/2017",2.0,Négatif,0
lovely paella 03/25/2017,2.0,Négatif,0
good flavors and kindness 01/17/2017,3.5,Positif,2
Great bistro on the Danube 11/07/2017,3.5,Positif,2
Basic but OK lounge 11/22/2017,1.5,Négatif,0
Even terrible is too much said! 12/13/2016,3.0,Neutre,1
Mothering Sunday 03/11/2016,2.0,Négatif,0
Great Mall Sushi? Ridiculous you Say? Read... 07/03/2016,3.0,Neutre,1
Old 60's style Dublin Pub 12/29/2016,3.0,Neutre,1
Excellent sushi place! 05/05/2015,3.5,Positif,2
Still the best curry I have ever had. 01/07/2018,4.5,Positif,2
"Amazing ""locals favorite"" Bistro 10/08/2017",5.0,Positif,2
Bad bad bad 10/13/2017,3.0,Neutre,1
Wish I'd read the reviews 08/17/2017,2.0,Négatif,0
Middle East in Paris!! 11/25/2017,4.0,Positif,2
Nothing GOLD about the baguettes :-( 07/20/2016,2.0,Négatif,0
"A stunning, lively little restaurant. 04/04/2016",4.5,Positif,2
Great Coffee Stop on Wenceslas Square 01/01/2018,2.0,Négatif,0
Bad Chinese curry 12/30/2015,1.0,Négatif,0
"Fresh ingredients, failed cooking 12/03/2015",2.0,Négatif,0
Looks do deceive. Avoid it. 11/13/2010,3.0,Neutre,1
Waiting to re-open 09/01/2015,3.0,Neutre,1
"Traditional Portuguese Dishes, Exellent Qu... 10/20/2016",3.0,Neutre,1
"Hungary mysery, tourist trap 12/19/2017",1.5,Négatif,0
Not professioanal. 03/23/2015,3.0,Neutre,1
Good open till late 01/26/2017,3.0,Neutre,1
Near the acropolis and a lovely place 10/02/2017,2.0,Négatif,0
Served us old food 08/12/2017,1.0,Négatif,0
"Great food, not so great atmosphere 09/05/2016",4.5,Positif,2
"Very nice view, slow service 03/23/2016",4.0,Positif,2
"Perfectly fine pizza, good lunch value 05/29/2017",3.0,Neutre,1
Hell yeah! 10/24/2017,4.0,Positif,2
"Avarge food, wierd atmosphere 08/25/2017",3.0,Neutre,1
"Good Hearty German Food, on a budget 10/12/2016",3.0,Neutre,1
Filipino food at its best! 07/31/2016,4.0,Positif,2
One of my Chinese favourites 02/21/2016,3.0,Neutre,1
Ice hockey view with dinner! 04/25/2016,2.0,Négatif,0
This could be a nice restaurant - but it i... 06/20/2017,2.0,Négatif,0
Not coming back 03/30/2015,3.0,Neutre,1
Good small creperie 09/26/2014,3.0,Neutre,1
Nice meal with friendly staff 09/19/2017,3.0,Neutre,1
WARNING: PUBIC HAIR IN FOOD!! 05/29/2016,3.0,Neutre,1
"exceellent food, service and everything 12/17/2017",3.0,Neutre,1
A little gem at Pedro Do Sal 07/01/2017,4.0,Positif,2
Not quite Favela 12/02/2017,3.5,Positif,2
Too drunk! 09/02/2017,3.5,Positif,2
Razonable food and very bad service. 05/19/2016,3.0,Neutre,1
Spider 05/27/2017,2.0,Négatif,0
Lacopo 07/14/2017,2.0,Négatif,0
My Metalhead boyfriend brought me here... 03/21/2017,4.5,Positif,2
Middle class restaurant 11/18/2016,3.0,Neutre,1
Pretty place 12/13/2017,4.0,Positif,2
Nice place but shame about the cats 09/25/2016,3.0,Neutre,1
Rapport qualité prix parfait 08/31/2017,5.0,Positif,2
Very unprofessional 07/31/2013,1.0,Négatif,0
Mayfair 05/17/2015,4.0,Positif,2
"Nice food, big portions, average interior 08/25/2015",4.5,Positif,2
best place to eat on ijburg 06/07/2017,4.5,Positif,2
"Still very good, even if portions seem to... 10/07/2017",4.5,Positif,2
Total rip off Restaurant 12/20/2017,1.0,Négatif,0
Delightfull Little Spot 02/18/2014,3.0,Neutre,1
"Ok food, quite expensive for what it is! N... 06/23/2017",2.0,Négatif,0
Slow slow oh so slow 09/12/2017,3.0,Neutre,1
Delivery service 08/28/2017,3.0,Neutre,1
Worth every penny with flavours to excite... 10/02/2017,4.5,Positif,2
Meh... Its alright but could be allot bett... 10/29/2017,3.0,Neutre,1
Horrible sushi quick delivery 03/29/2014,2.0,Négatif,0
Christmas Dinner with colleagues 12/06/2017,4.5,Positif,2
Not what I thought it would be 11/18/2017,3.0,Neutre,1
Madrid Visit.. 09/07/2015,2.0,Négatif,0
Worst of Sabat 11/06/2016,1.0,Négatif,0
good value tasty food great fish. 05/15/2014,2.0,Négatif,0
Canned food.. 04/27/2017,3.0,Neutre,1
Lovely cosy place with delicious food 11/27/2017,4.5,Positif,2
"Pizza? Nothing special, but nice people 12/15/2015",4.5,Positif,2
Disappointing! 😠WASTE OF MONEY! 👎🏻 03/19/2017,3.5,Positif,2
Salty and slow 12/20/2017,3.0,Neutre,1
Good food but no alcohol 08/23/2017,3.0,Neutre,1
Good and cheap enough. Not bad. 08/17/2014,2.0,Négatif,0
Delish - perfect break spot! 01/02/2018,4.5,Positif,2
Very impressive location 11/14/2017,4.0,Positif,2
Don't understand the reviews it's great... 09/10/2015,2.0,Négatif,0
Grappa mousse 01/10/2014,3.5,Positif,2
Varying quality in a nice environment 07/05/2015,3.0,Neutre,1
Very Nice Turkish Kebabs 06/04/2017,2.0,Négatif,0
Standard airport food 12/11/2017,2.0,Négatif,0
Celebrated La Pasquetta with Family 04/25/2017,4.5,Positif,2
Happy Food Place 12/31/2017,4.5,Positif,2
Incredible options and great value 05/16/2017,4.0,Positif,2
Great vegan burger 11/06/2017,4.5,Positif,2
Fun for a group 09/09/2017,3.0,Neutre,1
Rude member of staff 03/12/2017,1.0,Négatif,0
Very bland 10/28/2017,3.0,Neutre,1
Birthday Booking Disappointment 12/16/2017,3.5,Positif,2
"Amazing ambient, poor performance 09/04/2016",2.0,Négatif,0
Complete scam 10/29/2017,1.5,Négatif,0
1st time 2012 hidden gem. Rediscovered in... 02/14/2016,3.0,Neutre,1
Good steaks. Very good service 07/19/2017,4.0,Positif,2
Tips ~not~ included 12/31/2017,1.5,Négatif,0
Great Place to Sit n Read Some 09/22/2017,5.0,Positif,2
Basic Cheap Eats 09/19/2016,1.5,Négatif,0
Great drinks and food 10/14/2017,4.5,Positif,2
You have to try 08/30/2015,4.0,Positif,2
3 visits in 1 week 05/28/2013,2.0,Négatif,0
A lovely Sunday brunch 08/14/2017,3.0,Neutre,1
Can't expect better Mexican food at a mall 07/03/2016,2.0,Négatif,0
Rats played on restaurant floor 10/24/2015,2.0,Négatif,0
I was relieved to find somewhere with a gr... 10/04/2017,3.0,Neutre,1
Fish restaurant in Stockholm 01/09/2018,3.0,Neutre,1
"lucky to get ""Terrible"" rating. 11/21/2014",1.5,Négatif,0
Service a little disappointing! 11/18/2017,3.0,Neutre,1
Milano Centrale gem 09/16/2014,4.0,Positif,2
BBQ lovers come here on a weekend 02/16/2016,3.0,Neutre,1
Peaceful corner in MIlano 09/16/2014,3.0,Neutre,1
VERY BAD FOOD!!! 12/23/2009,3.0,Neutre,1
Beautiful place 11/22/2017,4.5,Positif,2
A big Disappointment 05/11/2014,3.0,Neutre,1
Cantina Autentico Mexicano 06/08/2016,3.0,Neutre,1
"Double transaction taking out ""."" made my... 06/27/2017",3.0,Neutre,1
Cheap but too cheerful 04/11/2017,2.0,Négatif,0
Traditional Spanish Cuisine in Friendly At... 07/11/2017,4.0,Positif,2
Not normal 10/16/2014,2.0,Négatif,0
Lucky We Weren't in a Rush! 08/13/2017,3.5,Positif,2
Bad expirience!!! 05/28/2017,2.0,Négatif,0
Yep.. big indeed 07/11/2017,5.0,Positif,2
Horrible stay 05/30/2016,1.5,Négatif,0
chinese/vietnamese food with good prices 04/26/2016,3.0,Neutre,1
"Suprise at ""Letras"" 01/26/2017",3.0,Neutre,1
Excellent Barbeque 09/02/2015,3.0,Neutre,1
Quick teatime bite 10/04/2016,1.5,Négatif,0
"Lovely lunch, well-priced 04/30/2016",4.5,Positif,2
Legacy and Landmark 08/11/2015,4.0,Positif,2
A lot of improvement to be done! 01/26/2017,2.0,Négatif,0
Average sushi at max served like in a fabr... 07/17/2017,3.0,Neutre,1
Unfreshly heated ready made food 07/15/2016,4.0,Positif,2
I thought it would be better 05/20/2015,3.0,Neutre,1
The service model is not good 11/02/2017,3.0,Neutre,1
Our First Viennese Meal 12/26/2015,3.0,Neutre,1
Very good fish food 04/26/2017,4.0,Positif,2
Favorite Bar in London 12/06/2017,4.5,Positif,2
A regular haunt. Decent food and good atmo... 09/29/2017,4.0,Positif,2
Food is great but small portions 03/17/2017,4.0,Positif,2
